,found,model_name,distance
0,19,intfloat/multilingual-e5-large,l2
0,19,intfloat/multilingual-e5-large,ip
0,19,intfloat/multilingual-e5-large,cosine
0,18,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,l2
0,2,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ip
0,19,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,cosine
0,19,symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,l2
0,15,symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,ip
0,20,symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,cosine
0,19,cointegrated/LaBSE-en-ru,l2
0,19,cointegrated/LaBSE-en-ru,ip
0,19,cointegrated/LaBSE-en-ru,cosine
0,19,sentence-transformers/LaBSE,l2
0,19,sentence-transformers/LaBSE,ip
0,19,sentence-transformers/LaBSE,cosine
