  ,id,score,query,title,content,model_name,distance,is_found
3219,23760,3.762655876975163e-13,РОПТАТЬ,ВОРОЧАТЬ,"Перевертывая, шевелить, двигать. В. камни. 2. чем. Распоряжаться, управлять (чем-н. большим, важным) (разг.). В. большими делами. В. миллионами, ",intfloat/multilingual-e5-large,l2,False
2895,16933,3.931967056634844e-13,ОЧАРОВАТЕЛЬНЫЙ,ВНИМАТЕЛЬНЫЙ,"Проникнутый вниманием, сосредоточенный. В. читатель. В. взгляд. 2. Проявляющий внимание, чуткий. В. уход за больными. Внимательно (нареч.) относиться к чужому мнению. II сущ. внимательность, -и, ж. ",intfloat/multilingual-e5-large,l2,False
30213,30213,9.17514762083238e-13,ЧЕСТВОВАТЬ,ЧЕСТВОВАТЬ,"Воздавать почести кому-н. Ч. юбиляра. II сущ. чествование, -я, ср. ",intfloat/multilingual-e5-large,l2,True
25524,25524,5.340968552841607e-13,СМИРИТЬСЯ,СМИРИТЬСЯ,"Примириться с кем-чем-н., покориться кому-чему-н. С. с судьбой. С. перед неизбежностью. II несов. смиряться, -яюсь, -яешься. II сущ. смирение, -я, ср. (устар.). ",intfloat/multilingual-e5-large,l2,True
7499,28499,9.482882144459803e-13,УКУПОРИТЬ,ЗАПРОДАТЬ,"Заключить предварительное условие об оптовой продаже че-го-н. II несов. запродавать, -даю, -даешь; -давай. II сущ запродажа, -и, ж. II прил. запродажный, -ая,-ое. ",intfloat/multilingual-e5-large,l2,False
22723,22723,6.686383217935354e-13,РАЗРЕШЕНИЕ,РАЗРЕШЕНИЕ,"Право на совершение чего-н., а также документ, удостоверяющий такое право. Получить р. на работу в архивах. Попросить разрешения (чтобы разрешили). Р. на отстрел кабанов. 3. Степень различимости изображения чего-н. (спец.). Фотография поверхности с большим разрешением деталей. * С вашего (его, моего и т. д.) разрешения - то же, что с вашего (его, моего и т. д.) позволения. С вашего разрешения, ееоЭн. ел. - то же, что с вашего позволения. ",intfloat/multilingual-e5-large,l2,True
15417,3975,7.467885359581372e-13,обозначиться,ОБЪЯСНИТЬСЯ,"Вести беседу, разговаривать. Свободно о. на чужом языке. О. при помощи мимики и жестов. 3. (1 и 2 л. не употр.), чем. Находить себе объяснение, корениться в чем-н. Успех обменяется трудолюбием. ",intfloat/multilingual-e5-large,l2,False
1240,1240,0.0,БЕРЕЖЛИВЫЙ,БЕРЕЖЛИВЫЙ,"Бережно относящийся к имуществу, расчетливый, экономный. Б. хозяин. II сущ. бережливость, -и, ж. ",intfloat/multilingual-e5-large,l2,True
14453,30554,4.329089712575007e-13,ШЕЛЕСТ,НЕРЕСТ,"Метание икры самками и одновременное оплодотворение ее самцами. Рыба идет на н. II прил. нерестовый, -ая, -ое. ",intfloat/multilingual-e5-large,l2,False
22527,22392,0.0,РАЗВЯЗНЫЙ,РАЗЛИВНОЙ,"О вине, молоке, жидкости: продаваемый прямо из бочек, бидонов в разлив. Разливное молоко. ",intfloat/multilingual-e5-large,l2,False
14613,14613,5.693674698381557e-13,НИВХСКИЙ,НИВХСКИЙ,"Относящийся к нивхам, к их языку, национальному характеру, образу жизни, культуре, а также к территории их проживания, ее внутреннему устройству, истории; такой, как у нивхов. Н. язык (один из изолированных языков - язык коренного населения острова Сахалин и низовьев реки Амура). ",intfloat/multilingual-e5-large,l2,True
27286,28594,9.942517729261136e-13,УМСТВОВАНИЕ,ТВОРЧЕСТВО,"Создание новых по замыслу культурных или материальных ценностей. Художественное т. Народное \ т. Т. Пушкина. Т. новаторов. II прил. творческий, -ая, -ое. Т. дар. Т. путь писателя. ",intfloat/multilingual-e5-large,l2,False
11427,11477,1.0171893709276514e-12,ЛИХОРАДКА,ЛИПУЧКА,"Клейкий, липкий пластырь, бумага, клейкая лента. ",intfloat/multilingual-e5-large,l2,False
15376,15376,6.481667416333159e-13,ОБЩЕОБРАЗОВАТЕЛЬНЫЙ,ОБЩЕОБРАЗОВАТЕЛЬНЫЙ,Дающий общее (не специальное) образование. Общеобразовательная школа. Общеобразовательные предметы. ,intfloat/multilingual-e5-large,l2,True
25736,3437,6.052204635891012e-13,ВРЕМЕНАМИ,СОВРЕМЕННОСТЬ,"Действительность в ее настоящем непосредственном состоянии, то, что происходит, существует сейчас. Передовые идеи современности. Отражение современ-ности в литературе. ",intfloat/multilingual-e5-large,l2,False
26795,26795,1.0753485775449878e-12,СТУПНЯ,СТУПНЯ,"То же, что стопа (в 1 знач.). Узкая с. 2. Нижняя часть стопы* (в1 знач.), подошва. Следы ступней на песке. ",intfloat/multilingual-e5-large,l2,True
27290,27290,1.337060778934529e-12,ТЕАТРОВЕДЕНИЕ,ТЕАТРОВЕДЕНИЕ,"Раздел искусствоведения, посвященный изучению театра. II прил. театроведческий, -ая, oое. ",intfloat/multilingual-e5-large,l2,True
9246,28880,0.0,УТИЛИТАРИЗМ,КАПИТАЛИЗМ,"Сменившая собой феодализм общественно-экономическая формация, при к-рой основные средства производства являются частной собственностью класса капиталистов. Эпоха капитализма. II прил. капиталистический, -ая, -ое. К. строй. Капиталистические страны. КАПИТАЛИСТ, -а, м. 1. В капиталистическом обществе: собственник капитала, средств производства, пользующийся трудом наемных работников. Крупный к. К.-миллиардер. 2.Богатый, разбогатевший человек (разг. шутл.). II ж. капиталистка, -и (ко 2 знач.). II прил. капиталистический, -ая, -ое (к 1 знач). ",intfloat/multilingual-e5-large,l2,False
5428,6734,4.677353339713197e-13,ЖИЛИСТЫЙ,ДЕЛОВИТЫЙ,"Толковый и серьезный, предприимчивый. Д. работник. Д. тон. II сущ. деловитость, -и, ж. ",intfloat/multilingual-e5-large,l2,False
