,id,score,query,title,content,model_name,distance,is_found
10363,10363,1.3157079592485132e-12,КОРНИШОНЫ,КОРНИШОНЫ,"Мелкие недозрелые огурцы, предназначенные для маринования. II прил. кор-нишонный, -ая, -ое. ",intfloat/multilingual-e5-large,l2,True
8566,8566,7.252604549909392e-13,ИММИГРАНТ,ИММИГРАНТ,"Человек, к-рый иммигрировал куда-н. II ж. иммигрантка, -и. II прил. иммигрантский, -ая, -ое. ",intfloat/multilingual-e5-large,l2,True
12175,17352,1.1573663034891712e-12,ПЕНСИЯ,МЕНСТРУАЦИЯ,"Ежемесячные выделения крови из матки женщины (а также у самок приматов). II прил. менструальный, -ая, -ое. М. цикл. ",intfloat/multilingual-e5-large,l2,False
18297,11029,7.939076913238141e-13,КУТАТЬ,ПЛУТАТЬ,"Ходить не зная дороги, блуждать. П. по лесу. ",intfloat/multilingual-e5-large,l2,False
14052,5394,1.371903025210175e-12,ДЕКАДА,НЕДЕЛЯ,"Единица исчисления времени, равная семи дням, вообще срок в семь дней. Календарная н. (от понедельника до воскресенья включительно). Рабочая н. (рабочие дни календарной недели). Виделись на этой неделе. Неделями не видимся (по целым неделям). 2. В нек-рых сочетаниях: семь дней (календарная неделя), связанных с какими-н. церковными праздниками или приходящихся на какое-н. праздничное время, либо на время поста. Сырная или масленая н. (то же, что масленица). Вербная н. (шестая неделя Великого поста). Страстная н. (последняя неделя перед Пасхой). Пасхальная или святая н. (первая неделя после Пасхи). Фомина неделя (вторая неделя после Пасхи, время свадеб и гуляний, Красная горка). 3. Семь дней, посвященных какому-н. общественному мероприятию, пропаганде чего-н. Н. книги (посвященная расширенной продаже, распространению книг). Н. французского кино. II уменьш. неделька, -и, ж. (к 1 знач.). Зайдите на недельке (на этой неделе). II прил. недельный, -ая, -ое (к 1 знач.). ",intfloat/multilingual-e5-large,l2,False
10912,2104,8.6710456523309e-13,БЮВАР,КУЛИНАР,"Специалист по кулинарии. 2. Человек, искусный в приготовлении кушаний. II ж. кулинарка, -и (ко 2 знач.; разг.). II прил. кулинарский, -ая, -ое. ",intfloat/multilingual-e5-large,l2,False
2406,2406,1.6537940721733646e-12,ВЕРОИСПОВЕДАНИЕ,ВЕРОИСПОВЕДАНИЕ,"Религия (во 2 знач.), религиозная система, а также официальная принадлежность к одной из ее разновидностей. Католическое в. II прил. вероисповедный, -ая, -ое. ",intfloat/multilingual-e5-large,l2,True
31193,31193,8.735162116205175e-13,ЭПОЛЕТЫ,ЭПОЛЕТЫ,"В царской и нек-рых иностранных армиях: наплечные знаки различия офицеров, генералов, адмиралов - род блестящих парадных погонов, заканчивающихся расшитым (часто с бахромой) кругом. В прил. эполетиый, -ая, -ое. ",intfloat/multilingual-e5-large,l2,True
23002,22919,9.543883695492528e-13,РАСКРЫТЬСЯ,РАСПРОСТИТЬСЯ,Попрощаться (обычно расставаясь надолго или навсегда). Р. со старыми друзьями. С заветной мечтой пришлось р. (перен.). ,intfloat/multilingual-e5-large,l2,False
5443,27372,4.452258874076964e-13,ТЕОКРАТИЯ,ДЕМАРКАЦИЯ,"Обозначение границ специальными знаками. II прил. демаркационный, -ая.-ое. Демаркационная линия (напр. между воюющими сторонами на время перемирия). ",intfloat/multilingual-e5-large,l2,False
5148,7033,6.129959820994069e-13,ЗАДЕЛ,ДАЛЬ,"Далекое место (разг.). Не поеду в такую д. Этакая д. (очень далеко). 2. Далекое пространство, видимое глазом. Голубая д. Родные дали. * Такую даль (идти, ехать, тащиться) (разг. неодобр.) - так далеко. ",intfloat/multilingual-e5-large,l2,False
18715,18688,1.0013042912176973e-12,ПОДКУЛАЧНИК,ПОДЛОЖНЫЙ,"Являющийся подлогом, фальшивый. П. документ. II сущ. подложность, -и, ж. ",intfloat/multilingual-e5-large,l2,False
28934,28942,7.639678820114959e-13,УТРЯСТИ,УТОЛЩЕНИЕ,Утолщенное место на чем-н. У. ствола. У. сосуда. ,intfloat/multilingual-e5-large,l2,False
2754,6543,1.666101501554551e-12,ЕХИДСТВО,ВИТИЙСТВО,"Искусство витии, красноречие. ",intfloat/multilingual-e5-large,l2,False
4390,4324,5.20727558295242e-13,ГВАРДИЯ,ГЕРОЙ,"Человек, совершающий подвиги, необычный по своей храбрости, доблести, самоотверженности. Герои Великой Отечественной войны. Г. труда. 2. Главное действующее лицо литературного произведения. Г. трагедии. Г. романа. 3. чего. Человек, воплощающий в себе черты эпохи, среды. Г. нашего времени. 4. кого-чего. Тот, кто привлек к себе внимание (чаще о том, кто вызывает восхищение, подражание, удивление). Г. дня. * Герой Советского Союза - почетное звание, присваивавшееся за доблесть и героизм. Герой Социалистического Труда - почетное звание, присваивавшееся за заслуги в области народного хозяйства, политической деятельности и культуры. Город-герой - почетное звание города, население к-рого проявило героизм во время Великой Отечественной воины. Крепость-герой - почетное звание, присвоенное Брестской крепости. II ж. героиня, -и. - Мать-героиня - почетное звание, присваивавшееся женщине-матери, воспитавшей не менее 10 детей. II прил. геройский, -ая, -ое (к 1 знач.). ",intfloat/multilingual-e5-large,l2,False
16121,31228,4.633445320131879e-13,ЭСТАКАДА,ОСАТАНЕТЬ,"Сильно надоесть, опротиветь. II несов. осатаневать, -аю, -аешь. ",intfloat/multilingual-e5-large,l2,False
