,id,score,query,title,content,model_name,distance,is_found
31050,31050,4.172325134277344e-07,ЭЛЕКТРИК,ЭЛЕКТРИК,Голубовато-синий. Цвет э. Платье з. ,intfloat/multilingual-e5-large,cosine,True
27472,8142,0.0,ЗООТЕХНИК,ТЕХНОЛОГ,Специалист по технологии. ,intfloat/multilingual-e5-large,cosine,False
17756,17612,-1.1920928955078125e-07,ПЕРЕМАЗАТЬ,ПЕРЕСТАВИТЬ,"Поставить на другое место; поменять местами. П. стул. П. мебель. П. слагаемые. II несов. переставлять, -яю, -яешь. II сущ. перестановка, -и, ж. ",intfloat/multilingual-e5-large,cosine,False
26691,30481,-4.76837158203125e-07,ШАРОВИДНЫЙ,СТРЕЛОВИДНЫЙ,"Похожий на стрелу. С. лист. II сущ. стре-ловидность, -и, ж. ",intfloat/multilingual-e5-large,cosine,False
1311,14180,0.0,НЕИЗРЕЧЕННЫЙ,БЕСПРЕДЕЛЬНЫЙ,"Безграничный, безмерный. В беспредельной вышине. Беспредельная любовь. Беспредельная отвага, и сущ. беспредельность, -и, ж. ",intfloat/multilingual-e5-large,cosine,False
13950,13952,-2.384185791015625e-07,НЕВЕЖА,НЕВЕДЕНИЕ,"Незнание, неосведомленность. Сделать по неведению. Отговориться неведением. В блаженном (счастливом) неведении кто-н. (ничего не знает о чем-н. неприятном, ничего не слышал; ирон.). ",intfloat/multilingual-e5-large,cosine,False
12015,11386,7.748603820800781e-07,ЛИКВИДАЦИЯ,МАХИНАЦИЯ,"Жульнические действия, нечестная проделка. ",intfloat/multilingual-e5-large,cosine,False
23692,21970,-7.152557373046875e-07,ПУДОВЫЙ,РОДОВИТЫЙ,"Принадлежа- \ щий к старинному роду (во 2 знач.). Р. боярин. II сущ. родовитость, -и, ж. ",intfloat/multilingual-e5-large,cosine,False
30663,12038,-3.5762786865234375e-07,МАШТАК,ШИФРОВКА,"Шифрованная запись, телеграмма, письмо (разг.). 11 прил. шифровочный, -ая, -ое. ",intfloat/multilingual-e5-large,cosine,False
13223,13566,-2.384185791015625e-07,НАПЯЛИТЬ,НАДУТЬСЯ,"Наполнившись воздухом, стать упругим; напрячься от ветра. Воздушный шарик надулся, Парус надулся. 2. перен. Принять важный вид, возгордиться (разг. неодобр.). Заважничал и надулся. 3. перен. Рассердившись на кого-н., обидеться (разг. неодобр.).Н. на товарища. Н. за шутку. 4. чего. Напиться, выпить чего-н. очень много (прост.). Н. чаю, молока. II несов. надуваться, -аюсь, -аешься. ",intfloat/multilingual-e5-large,cosine,False
