,id,score,query,title,content,model_name,is_found
13655,13655,1.0,НАСКРЕСТИ,НАСКРЕСТИ,"Скребя, набрать в каком-н. количестве. Мыши наскребли крошек. 2. перен., что и кого-чего. С трудом набрать немного, в небольшом количестве (разг.). Н. денег. II несов. наскребать, -аю, -аешь. ",intfloat/multilingual-e5-large,True
3034,3034,1.0000001,ВОЗДУШНЫЙ,ВОЗДУШНЫЙ,"Относящийся к воздухоплаванию и авиации. Воздушное сообщение. В. бой. 3. полн. ф. Приводимый в движение воздухом. В. руль. 4. перен. Очень легкий, нежный. Воздушные одежды. Воздушное печенье. * Воздушные замки строить - мечтать о несбыточном. Воз-душный поцелуй - знак поцелуя, выражаемый движением руки от губ. II сущ. воздушность, -и, ж. (к 4 знач.). ",intfloat/multilingual-e5-large,True
29207,29207,1.0000001,ФИКЦИЯ,ФИКЦИЯ,"Намеренно созданное, измышленное положение, построение, не соответствующее действитеиьнос-ти, а также вообще подделка. ",intfloat/multilingual-e5-large,True
31336,31336,0.9999999,ЯМИНА,ЯМИНА,"То же, что яма (в 1 и 3 знач.). ",intfloat/multilingual-e5-large,True
8701,8701,1.0,ИНСТИТУТ,ИНСТИТУТ,"Высшее учебное заведение. Педагогический и. Медицинский и. Технологический и. 2. Научно-исследовательское учреждение. Институты Академии наук. 3. Женское, обычно закрытое, среднее учебное заведение. И. благородных девиц. 4. Совокупность норм права в какой-н. области общественных отношений. та или иная форма общественного устройства (книжн.). И. частной собственности. И. семьи, брака. И. власти. И. президентства (npeзидентское правление). II прил. институтский, -ая, -ое (к 1, 2 и 3 знач.). ",intfloat/multilingual-e5-large,True
15337,15337,0.99999976,ОБУЗА,ОБУЗА,"Тягостная обязанность, забота. Тяжкая о. Взвалить на ко-го-н. новую обузу. 2. Тот (то), кто (что) отягощает, обременяет кого-что-н. Старик стал для всех обузой. Лишние вещи - о. в дороге. ",intfloat/multilingual-e5-large,True
24184,24184,1.0,САМУМ,САМУМ,"Сухой, знойный ветер пустынь, налетающий шквалом и образующий песчаные вихри. II прил. самумный. -ая, -ое. ",intfloat/multilingual-e5-large,True
13615,13615,1.0,НАРЫ,НАРЫ,Дощатый настил для спанья на нек-ром возвышении от пола. ,intfloat/multilingual-e5-large,True
10743,10743,1.0,КРОКУС,КРОКУС,"То же, что шафран (в 1 знач.). II прил. крокусовый, -ая, -ое. ",intfloat/multilingual-e5-large,True
29481,29481,1.0000002,ХАЛТУРЩИК,ХАЛТУРЩИК,"Человек, к-рый халтурит. II ж. халтурщица, -ы. II прил. халтурщнцкий, oая, oое. ",intfloat/multilingual-e5-large,True
1314,1314,1.0,БЕСПРЕМЕННО,БЕСПРЕМЕННО,"Непременно, обязательно. Б. сделаю. ",intfloat/multilingual-e5-large,True
31309,31309,1.0000001,ЯДОХИМИКАТЫ,ЯДОХИМИКАТЫ,"Ядовитые вещества, применяемые для борьбы с сорняками, вредными насекомыми, бактериями, для протравливания семян. II прил. ядохимикатный, -ая, oое. ",intfloat/multilingual-e5-large,True
30460,30460,1.0000001,ШАГИСТИКА,ШАГИСТИКА,"Обучение маршировке (в ущерб другим, более существенным военным занятиям). ",intfloat/multilingual-e5-large,True
21338,21338,1.0000001,ПРОКИПЯТИТЬ,ПРОКИПЯТИТЬ,"Вскипятить как следует, подвергнуть кипячению. П. суп. П. белье. ",intfloat/multilingual-e5-large,True
22099,22099,0.9999998,ПЧЕЛЬНИК,ПЧЕЛЬНИК,"То же, что пасека. 2. То же, что пасечник (устар.). II ж. пчельни-ца, -ы (ко 2 знач.). ",intfloat/multilingual-e5-large,True
27811,27811,1.0000002,ТРАХНУТЬСЯ,ТРАХНУТЬСЯ,"То же, что бахнуться. Т. oна землю. Т. головой о косяк. II несов. трахаться, -аюсь, -аешься. ",intfloat/multilingual-e5-large,True
10220,10220,0.99999994,КОНУСООБРАЗНЫЙ,КОНУСООБРАЗНЫЙ,"Имеющий вид конуса. II сущ. конусообра-зность, -и, ж. ",intfloat/multilingual-e5-large,True
18093,18093,1.0,ПИХТА,ПИХТА,"Вечнозеленое хвойное дерево сем. сосновых с мягкой плоской хвоей и с прямо стоящими шишками. II прил. пихтовый, -ая, -ое. Пихтовое масло. ",intfloat/multilingual-e5-large,True
11277,11277,1.0,ЛЕНТЯЙ,ЛЕНТЯЙ,"Ленивый человек. Неисправимый л. II ж. лентяйка, -и. II прил. лентяйский, -ая, -ое. ",intfloat/multilingual-e5-large,True
5341,5341,1.0000001,ДЕВЯНОСТОЛЕТНИЙ,ДЕВЯНОСТОЛЕТНИЙ,"Существующий или просуществовавший, проживший девяносто лет. Д. старик. ",intfloat/multilingual-e5-large,True
28770,28770,1.0,УСИЛЕННЫЙ,УСИЛЕННЫЙ,"Увеличенный, улучшенный. Усиленное питание. 2. Крайне настойчивый. Усиленные просьбы. II сущ. усиленность, -и, ж. УСИЛИЕ, -я, ср. Напряжение сил (физических, умственных). Приложить усилия к чему-я., аля достижения чего-н. Сделать у. над собой. С. усилием подняться. УСИЛИТЕЛЬ, -я, м. Устройство для усиления мощности или напряжения чего-н. Электрический у. ",intfloat/multilingual-e5-large,True
28108,28108,0.99999994,ТЩЕДУШНЫЙ,ТЩЕДУШНЫЙ,"Хилый, слабосильный. Т. старик. Т. вид. II сущ. тщедушие, -я, ср. и тщедушность, -и, ж. ",intfloat/multilingual-e5-large,True
8107,8107,1.0000001,ЗНАЧИТЕЛЬНЫЙ,ЗНАЧИТЕЛЬНЫЙ,"Большой по размерам, силе. 3. урон. Значительная сумма. 3. успех. Значительно (нареч.) больше. 2. Имеющий большое значение, важный. Значительные события. Он человека. 3. Очень выразительный, выражающий многое. 3. взгляд. Значительно (нареч.) посмотреть. II сущ. значительность, -и, ж. ",intfloat/multilingual-e5-large,True
8281,8281,0.9999999,ИЗБИРАТЬ,ИЗБИРАТЬ,"Участвовать в выборах. Право и. И. депутатов. II сущ. избирание, -я, ср. II прил. избирательный, -ая, -ое. Избирательная система. Избирательная кампания. И. округ. И. участок, бюллетень. ",intfloat/multilingual-e5-large,True
23918,23918,0.99999994,РЫБНИК,РЫБНИК,"Специалист по рыбному хозяйству, работник рыбной промышленности. 2. Торговец рыбой (устар.). 3. Пирог с рыбной начинкой. ",intfloat/multilingual-e5-large,True
