,id,score,query,title,content,model_name,is_found
17727,17727,1.0000001,ПЕРЕСАДКА,ПЕРЕСАДКА,"Переход с одного транспортного средства на другое для продолжения поездки. Сделать пересадку. Ехать без пересадок. П прил. пересадочный, -ая, ое. ",intfloat/multilingual-e5-large,True
11304,11304,0.99999994,ЛЕСОВОД,ЛЕСОВОД,Специалист по лесоводству. ,intfloat/multilingual-e5-large,True
27583,27583,0.9999999,ТОЛСТЕТЬ,ТОЛСТЕТЬ,"Становиться толстым (в 1 и 2 знач.), толще. Фигура толстеет. Рукопись толстеет. II сов. потолстеть, -ею, -еешь. ",intfloat/multilingual-e5-large,True
6100,6100,0.99999994,ДОСКАЗАТЬ,ДОСКАЗАТЬ,"Закончить рассказывать, говорить что-н. Д. сказку. Д. мысль. Не дает д. (перебивает). II несов. досказывать, -аю, -аешь. ",intfloat/multilingual-e5-large,True
27253,27253,1.0000001,ТАТАКАТЬ,ТАТАКАТЬ,"То же, что такать2. Татакает пулемет. II однако, татакнуть, -ну, -нешь. II сущ. татаканье, -я, ср. ",intfloat/multilingual-e5-large,True
15932,15932,1.0,ОПЛОШНОСТЬ,ОПЛОШНОСТЬ,"Ошибка, ошибочный поступок, промах. Допустить о. ",intfloat/multilingual-e5-large,True
5856,5856,0.99999994,ДОВОЛЬСТВОВАТЬ,ДОВОЛЬСТВОВАТЬ,Снабжать довольствием. Д. войска. ,intfloat/multilingual-e5-large,True
17043,17043,0.99999994,ПАЛЕСТИНСКИЙ,ПАЛЕСТИНСКИЙ,"Относящийся к палестинцам, к их языку, национальному характеру, образу жизни, культуре, а также к Палестине, ее территории, внутреннему устройству, истории; такой, как у палестинцев, как в Палестине. Палестинские арабы (палестинцы). Палестинские земли. ",intfloat/multilingual-e5-large,True
560,560,0.9999999,АРКТИКА,АРКТИКА,"Северная полярная область земного шара: окраины материков Евразии и Северной Америки с прилегающими островами, Северным Ледовитым океаном и участками других океанов. II прил. арктический, -ая, oое. ",intfloat/multilingual-e5-large,True
5682,5682,1.0,ДИКТОФОН,ДИКТОФОН,"Портативный прибор для магнитной записи и последующего воспроизведения устной речи (как диктуемой). Запись на д. II прил. диктофонный, -ая, -ое. ",intfloat/multilingual-e5-large,True
4407,4407,0.9999999,ГИБЕЛЬНЫЙ,ГИБЕЛЬНЫЙ,"Угрожающий гибелью, крайне опасный. Г. шаг. Гибельные последствия. II сущ. гибельность, -и, ж. ",intfloat/multilingual-e5-large,True
16102,16102,1.0000001,ОРОСИТЬ,ОРОСИТЬ,"Полить, пропитать влагой. Дождь оросил землю. О. слезами кого-что-н. (перен.: горько заплакать над кем-чем-н.; устар. и высок.). 2. Создать благоприятные по влажности условия путем проведения воды на поля и увеличения ее запасов в почве. О. степные районы. II несов. орошать, -аю, -аешь. II сущ. орошение, -я, ср. Регулярное о. Периодическое о. (лиманное). II прил. оросительный, -ая, -ое (ко 2 знач.). Оросительная система, ",intfloat/multilingual-e5-large,True
22847,22847,0.9999999,РАСКАТ,РАСКАТ,"Раскатанное, гладкое или скользкое место. Ледяные раскаты на дороге. 3. Прерывистые и громкие звуки, прерывистый длительный гул, грохот. Раскаты грома. II прил. раскатный, -ая, -ое (ко 2 и 3 знач.). ",intfloat/multilingual-e5-large,True
